iter,v_lower,v_upper,x1,x2,x3,y1,y2,y3
19981,13.196336519693709,13.25954656924078,0.6148841399329363,0.3441269205745458,0.04098893949251789,0.5635854061358291,0.150993443771583,0.28542115009258795
19982,13.196276648984085,13.259483535181664,0.6149034130717645,0.344109698728856,0.04098688819937944,0.5636072465218697,0.1509858872985687,0.2854068661795616
19983,13.196216784266626,13.259420507431317,0.6149226842816394,0.3440924786068158,0.04098483711154481,0.5636290847220137,0.15097833158184457,0.28539258369614173
19984,13.196156925540432,13.25935748598879,0.6149419535628503,0.34407526020816653,0.04098278622898319,0.5636509207365893,0.15097077662129704,0.28537830264211367
19985,13.196097072804601,13.25929447085314,0.6149612209156867,0.34405804353264946,0.04098073555166375,0.5636727545659245,0.15096322241681262,0.28536402301726294
19986,13.196037226058243,13.259231462023418,0.6149804863404383,0.344040828580006,0.04097868507955569,0.5636945862103473,0.1509556689682778,0.285349744821375
19987,13.195977385300447,13.259168459498675,0.6149997498373944,0.3440236153499775,0.040976634812628206,0.5637164156701856,0.15094811627557914,0.28533546805423526
19988,13.195917550530318,13.259105463277969,0.6150190114068441,0.3440064038423054,0.04097458475085051,0.5637382429457675,0.15094056433860317,0.2853211927156294
19989,13.195857721746961,13.259042473360347,0.615038271049077,0.34398919405673123,0.04097253489419181,0.5637600680374206,0.15093301315723648,0.2853069188053429
19990,13.195797898949476,13.258979489744872,0.6150575287643822,0.3439719859929965,0.04097048524262131,0.5637818909454727,0.15092546273136567,0.2852926463231616
19991,13.195738082136959,13.258916512430593,0.6150767845530488,0.34395477965084287,0.040968435796108246,0.5638037116702516,0.1509179130608774,0.285278375268871
19992,13.195678271308523,13.258853541416567,0.6150960384153662,0.343937575030012,0.04096638655462185,0.5638255302120848,0.15091036414565825,0.2852641056422569
19993,13.19561846646326,13.258790576701847,0.615115290351623,0.34392037213024557,0.04096433751813135,0.5638473465713,0.15090281598559496,0.2852498374431051
19994,13.195558667600281,13.258727618285485,0.6151345403621087,0.34390317095128536,0.04096228868660598,0.5638691607482245,0.15089526858057417,0.28523557067120137
19995,13.195498874718679,13.25866466616654,0.6151537884471118,0.3438859714928732,0.040960240060015,0.5638909727431858,0.1508877219304826,0.2852213053263316
19996,13.195439087817565,13.25860172034407,0.6151730346069214,0.34386877375475094,0.040958191638327666,0.5639127825565113,0.15088017603520704,0.2852070414082817
19997,13.195379306896033,13.258538780817123,0.6151922788418263,0.3438515777366605,0.04095614342151323,0.5639345901885283,0.1508726308946342,0.28519277891683753
19998,13.195319531953196,13.258475847584759,0.6152115211521152,0.3438343834383438,0.04095409540954095,0.5639563956395639,0.15086508650865085,0.28517851785178516
19999,13.19525976298815,13.258412920646032,0.6152307615380769,0.343817190859543,0.040952047602380116,0.5639781989099455,0.15085754287714387,0.28516425821291064
20000,13.1952,13.25835,0.61525,0.3438,0.04095,0.564,0.15085,0.28515
