iter,play_row,play_col,p0,p1,p2,q0,q1,q2,v_lb,v_ub,gap
0,0,,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0,13.999999999999998,4.999999999999998
1,1,1.0,0.5,0.5,0.0,0.0,1.0,0.0,11.5,22.0,10.5
2,0,2.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5,0.5,13.0,13.5,0.5
3,1,0.0,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,11.5,13.999999999999998,2.4999999999999982
4,0,2.0,0.6,0.4,0.0,0.25,0.25,0.5,12.799999999999999,14.25,1.450000000000001
5,0,2.0,0.6666666666666666,0.3333333333333333,0.0,0.2,0.2,0.6,13.0,15.0,2.0
6,0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.3333333333333333,0.16666666666666666,0.5,12.714285714285714,14.5,1.7857142857142865
7,0,1.0,0.75,0.25,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,12.25,13.714285714285714,1.4642857142857135
8,1,1.0,0.6666666666666666,0.3333333333333333,0.0,0.25,0.375,0.375,13.0,13.875,0.875
9,1,0.0,0.6,0.4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.799999999999999,13.999999999999998,1.1999999999999993
10,0,2.0,0.6363636363636364,0.36363636363636365,0.0,0.3,0.3,0.4,13.090909090909092,13.5,0.4090909090909083
11,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.36363636363636365,0.2727272727272727,0.36363636363636365,13.0,13.363636363636363,0.3636363636363633
12,1,0.0,0.6153846153846154,0.38461538461538464,0.0,0.4166666666666667,0.25,0.3333333333333333,13.0,13.416666666666666,0.4166666666666661
13,0,2.0,0.6428571428571429,0.35714285714285715,0.0,0.38461538461538464,0.23076923076923078,0.38461538461538464,13.071428571428573,13.615384615384617,0.5439560439560438
14,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.42857142857142855,0.21428571428571427,0.35714285714285715,13.0,13.5,0.5
15,0,0.0,0.6875,0.3125,0.0,0.4666666666666667,0.2,0.3333333333333333,12.9375,13.4,0.46250000000000036
16,0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.5,0.1875,0.3125,12.823529411764707,13.3125,0.4889705882352935
17,1,1.0,0.6666666666666666,0.3333333333333333,0.0,0.47058823529411764,0.23529411764705882,0.29411764705882354,13.0,13.705882352941178,0.7058823529411775
18,1,0.0,0.631578947368421,0.3684210526315789,0.0,0.5,0.2222222222222222,0.2777777777777778,13.105263157894736,13.777777777777779,0.6725146198830423
19,1,0.0,0.6,0.4,0.0,0.5263157894736842,0.21052631578947367,0.2631578947368421,12.799999999999999,13.842105263157894,1.0421052631578949
20,1,2.0,0.5714285714285714,0.42857142857142855,0.0,0.5,0.2,0.3,12.428571428571427,13.4,0.9714285714285733
21,0,2.0,0.5909090909090909,0.4090909090909091,0.0,0.47619047619047616,0.19047619047619047,0.3333333333333333,12.681818181818182,13.428571428571427,0.7467532467532454
22,0,2.0,0.6086956521739131,0.391304347826087,0.0,0.45454545454545453,0.18181818181818182,0.36363636363636365,12.913043478260871,13.636363636363637,0.7233201581027657
23,0,2.0,0.625,0.375,0.0,0.43478260869565216,0.17391304347826086,0.391304347826087,13.125,13.82608695652174,0.7010869565217401
24,0,0.0,0.64,0.36,0.0,0.4583333333333333,0.16666666666666666,0.375,13.08,13.75,0.6699999999999999
25,0,0.0,0.6538461538461539,0.34615384615384615,0.0,0.48,0.16,0.36,13.038461538461538,13.68,0.6415384615384614
26,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.15384615384615385,0.34615384615384615,13.0,13.615384615384615,0.615384615384615
27,0,0.0,0.6785714285714286,0.32142857142857145,0.0,0.5185185185185185,0.14814814814814814,0.3333333333333333,12.964285714285714,13.555555555555555,0.5912698412698418
28,0,0.0,0.6896551724137931,0.3103448275862069,0.0,0.5357142857142857,0.14285714285714285,0.32142857142857145,12.931034482758621,13.5,0.568965517241379
29,0,0.0,0.7,0.3,0.0,0.5517241379310345,0.13793103448275862,0.3103448275862069,12.899999999999999,13.448275862068966,0.5482758620689676
30,0,0.0,0.7096774193548387,0.2903225806451613,0.0,0.5666666666666667,0.13333333333333333,0.3,12.774193548387098,13.4,0.6258064516129025
